Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
4B	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.187348	0	0.498406	0.314246	50	7293.65	5.56016e-05
4B	Multi-Family with 5+ Units	None	1980-99	0.187348	0	0.498406	0.314246	50	7293.65	1.87828e-06
4B	Single-Family Attached	Ducted Heat Pump	1980-99	0	1	0	0	13	3535.71	3.66219e-06
4B	Single-Family Attached	Ducted Heating	1980-99	0.857237	0	0.132145	0.0106185	239	65337.2	7.29259e-05
4B	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4B	Single-Family Attached	Non-Ducted Heating	1980-99	0.207702	0	0.450492	0.341806	44	5816.4	1.50169e-05
4B	Single-Family Attached	None	1980-99	0.207702	0	0.450492	0.341806	44	5816.4	2.19353e-07
4B	Single-Family Detached	Ducted Heat Pump	1980-99	0	1	0	0	13	3535.71	5.02723e-05
4B	Single-Family Detached	Ducted Heating	1980-99	0.857237	0	0.132145	0.0106185	239	65337.2	0.00119774
4B	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4B	Single-Family Detached	Non-Ducted Heating	1980-99	0.207702	0	0.450492	0.341806	44	5816.4	0.000221479
4B	Single-Family Detached	None	1980-99	0.207702	0	0.450492	0.341806	44	5816.4	2.37598e-06
4B	Mobile Home	Ducted Heat Pump	2000-09	0	1	0	0	1	336.712	1.776e-05
4B	Mobile Home	Ducted Heating	2000-09	0.863013	0	0.136987	0	5	1921.72	0.000116277
4B	Mobile Home	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4B	Mobile Home	Non-Ducted Heating	2000-09	0	0	1	0	1	139.113	7.32301e-06
4B	Mobile Home	None	2000-09	0	0	1	0	1	139.113	2.45148e-07
4B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0	1	0	0	4	677.13	5.55782e-06
4B	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	1	0	0	0	24	4080.65	2.87479e-05
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	0.87314	0	0.12686	0	7	455.312	1.97995e-06
4B	Multi-Family with 2 - 4 Units	None	2000-09	0.87314	0	0.12686	0	7	455.312	1.06878e-07
4B	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0	1	0	0	4	677.13	1.56342e-05
4B	Multi-Family with 5+ Units	Ducted Heating	2000-09	1	0	0	0	24	4080.65	5.99326e-05
4B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4B	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	0.87314	0	0.12686	0	7	455.312	4.71542e-06
4B	Multi-Family with 5+ Units	None	2000-09	0.87314	0	0.12686	0	7	455.312	2.92583e-07
4B	Single-Family Attached	Ducted Heat Pump	2000-09	0	1	0	0	8	1167.76	3.15944e-06
4B	Single-Family Attached	Ducted Heating	2000-09	0.910927	0	0.0542996	0.0347738	87	11910.9	3.58307e-05
4B	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4B	Single-Family Attached	Non-Ducted Heating	2000-09	0.906552	0	0.0934478	0	7	467.537	1.9207e-06
4B	Single-Family Attached	None	2000-09	0.906552	0	0.0934478	0	7	467.537	1.90695e-07
4B	Single-Family Detached	Ducted Heat Pump	2000-09	0	1	0	0	8	1167.76	5.43051e-05
4B	Single-Family Detached	Ducted Heating	2000-09	0.910927	0	0.0542996	0.0347738	87	11910.9	0.000731128
4B	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4B	Single-Family Detached	Non-Ducted Heating	2000-09	0.906552	0	0.0934478	0	7	467.537	3.77163e-05
4B	Single-Family Detached	None	2000-09	0.906552	0	0.0934478	0	7	467.537	1.31707e-06
4B	Mobile Home	Ducted Heat Pump	2010s	0	1	0	0	1	336.712	5.8605e-06
4B	Mobile Home	Ducted Heating	2010s	0.863013	0	0.136987	0	5	1921.72	2.60178e-05
4B	Mobile Home	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4B	Mobile Home	Non-Ducted Heating	2010s	0	0	1	0	1	139.113	1.91251e-06
4B	Mobile Home	None	2010s	0	0	1	0	1	139.113	8.80167e-08
4B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0	1	0	0	4	677.13	3.30865e-06
4B	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	1	0	0	0	24	4080.65	1.43149e-05
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	0.87314	0	0.12686	0	7	455.312	1.06448e-06
4B	Multi-Family with 2 - 4 Units	None	2010s	0.87314	0	0.12686	0	7	455.312	6.40225e-08
4B	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0	1	0	0	4	677.13	1.15194e-05
4B	Multi-Family with 5+ Units	Ducted Heating	2010s	1	0	0	0	24	4080.65	3.58752e-05
4B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4B	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	0.87314	0	0.12686	0	7	455.312	3.13637e-06
4B	Multi-Family with 5+ Units	None	2010s	0.87314	0	0.12686	0	7	455.312	9.36715e-07
4B	Single-Family Attached	Ducted Heat Pump	2010s	0	1	0	0	8	1167.76	1.98811e-06
4B	Single-Family Attached	Ducted Heating	2010s	0.910927	0	0.0542996	0.0347738	87	11910.9	1.20594e-05
4B	Single-Family Attached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4B	Single-Family Attached	Non-Ducted Heating	2010s	0.906552	0	0.0934478	0	7	467.537	7.80714e-07
4B	Single-Family Attached	None	2010s	0.906552	0	0.0934478	0	7	467.537	5.37549e-08
4B	Single-Family Detached	Ducted Heat Pump	2010s	0	1	0	0	8	1167.76	1.5831e-05
4B	Single-Family Detached	Ducted Heating	2010s	0.910927	0	0.0542996	0.0347738	87	11910.9	0.000152385
4B	Single-Family Detached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4B	Single-Family Detached	Non-Ducted Heating	2010s	0.906552	0	0.0934478	0	7	467.537	8.51619e-06
4B	Single-Family Detached	None	2010s	0.906552	0	0.0934478	0	7	467.537	3.071e-07
4B	Mobile Home	Ducted Heat Pump	<1940	0	1	0	0	0	0	8.79054e-08
4B	Mobile Home	Ducted Heating	<1940	1	0	0	0	2	967.828	1.35367e-06
4B	Mobile Home	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4B	Mobile Home	Non-Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	1.50073e-06
4B	Mobile Home	None	<1940	0.333333	0	0.333333	0.333333	0	0	5.75702e-07
4B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	4.46166e-07
4B	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	0.768676	0	0.231324	0	4	1198.59	8.94787e-06
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0.100793	0	0.641262	0.257945	22	3093.6	9.35759e-06
4B	Multi-Family with 2 - 4 Units	None	<1940	0.100793	0	0.641262	0.257945	22	3093.6	1.92557e-07
4B	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	4.91086e-07
4B	Multi-Family with 5+ Units	Ducted Heating	<1940	0.768676	0	0.231324	0	4	1198.59	8.94504e-06
4B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4B	Multi-Family with 5+ Units	Non-Ducted Heating	<1940	0.100793	0	0.641262	0.257945	22	3093.6	9.54248e-06
4B	Multi-Family with 5+ Units	None	<1940	0.100793	0	0.641262	0.257945	22	3093.6	2.01797e-07
4B	Single-Family Attached	Ducted Heat Pump	<1940	0	1	0	0	1	237.956	1.32386e-07
4B	Single-Family Attached	Ducted Heating	<1940	0.643757	0	0.200774	0.155469	36	9926.61	4.24465e-06
4B	Single-Family Attached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4B	Single-Family Attached	Non-Ducted Heating	<1940	0.0222893	0	0.697324	0.280387	34	4845.44	4.10858e-06
4B	Single-Family Attached	None	<1940	0.0222893	0	0.697324	0.280387	34	4845.44	5.94737e-07
4B	Single-Family Detached	Ducted Heat Pump	<1940	0	1	0	0	1	237.956	4.81383e-06
4B	Single-Family Detached	Ducted Heating	<1940	0.643757	0	0.200774	0.155469	36	9926.61	0.000186408
4B	Single-Family Detached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4B	Single-Family Detached	Non-Ducted Heating	<1940	0.0222893	0	0.697324	0.280387	34	4845.44	0.000176264
4B	Single-Family Detached	None	<1940	0.0222893	0	0.697324	0.280387	34	4845.44	1.64917e-06
4C	Mobile Home	Ducted Heat Pump	1940-59	0	1	0	0	0	0	1.05481e-06
4C	Mobile Home	Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	8.99818e-06
4C	Mobile Home	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	2.02194e-05
4C	Mobile Home	None	1940-59	0.333333	0	0.333333	0.333333	0	0	3.63048e-07
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0	1	0	0	0	0	5.16841e-06
4C	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0	0	1	0	2	9997.47	5.88779e-05
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0	0	0.837611	0.162389	6	16680.6	0.000128647
4C	Multi-Family with 2 - 4 Units	None	1940-59	0	0	0.837611	0.162389	6	16680.6	1.81495e-06
4C	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0	1	0	0	0	0	1.13418e-05
4C	Multi-Family with 5+ Units	Ducted Heating	1940-59	0	0	1	0	2	9997.47	6.23585e-05
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0	0	0.837611	0.162389	6	16680.6	0.000231053
4C	Multi-Family with 5+ Units	None	1940-59	0	0	0.837611	0.162389	6	16680.6	6.24191e-06
4C	Single-Family Attached	Ducted Heat Pump	1940-59	0	1	0	0	1	4700.6	1.97111e-06
4C	Single-Family Attached	Ducted Heating	1940-59	0.266805	0	0.410636	0.322559	12	61527.6	3.10073e-05
4C	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	1940-59	0.0919063	0	0.693779	0.214314	12	33443.1	5.56907e-05
4C	Single-Family Attached	None	1940-59	0.0919063	0	0.693779	0.214314	12	33443.1	5.94593e-07
4C	Single-Family Detached	Ducted Heat Pump	1940-59	0	1	0	0	1	4700.6	4.03369e-05
4C	Single-Family Detached	Ducted Heating	1940-59	0.266805	0	0.410636	0.322559	12	61527.6	0.00155997
4C	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	1940-59	0.0919063	0	0.693779	0.214314	12	33443.1	0.00129044
4C	Single-Family Detached	None	1940-59	0.0919063	0	0.693779	0.214314	12	33443.1	8.06353e-06
4C	Mobile Home	Ducted Heat Pump	1960-79	0	1	0	0	1	12102.5	8.97248e-05
4C	Mobile Home	Ducted Heating	1960-79	0.476367	0	0.523633	0	2	21061.8	0.000179535
4C	Mobile Home	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	1960-79	0	0	0	1	2	14292.1	0.000366391
4C	Mobile Home	None	1960-79	0	0	0	1	2	14292.1	1.87754e-06
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0	1	0	0	0	0	0.000100999
4C	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0	0	1	0	1	6590.59	0.000127037
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0	0	0.902712	0.0972882	24	67539	0.000391183
4C	Multi-Family with 2 - 4 Units	None	1960-79	0	0	0.902712	0.0972882	24	67539	3.61304e-06
4C	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0	1	0	0	0	0	0.000274657
4C	Multi-Family with 5+ Units	Ducted Heating	1960-79	0	0	1	0	1	6590.59	0.000250035
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0	0	0.902712	0.0972882	24	67539	0.00104656
4C	Multi-Family with 5+ Units	None	1960-79	0	0	0.902712	0.0972882	24	67539	1.74727e-05
4C	Single-Family Attached	Ducted Heat Pump	1960-79	0	1	0	0	9	41946.9	3.65624e-05
4C	Single-Family Attached	Ducted Heating	1960-79	0.330476	0	0.628772	0.0407514	21	112040	7.86358e-05
4C	Single-Family Attached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	1960-79	0	0	0.593206	0.406794	17	40586.5	0.000156707
4C	Single-Family Attached	None	1960-79	0	0	0.593206	0.406794	17	40586.5	5.62437e-07
4C	Single-Family Detached	Ducted Heat Pump	1960-79	0	1	0	0	9	41946.9	0.000367808
4C	Single-Family Detached	Ducted Heating	1960-79	0.330476	0	0.628772	0.0407514	21	112040	0.00201062
4C	Single-Family Detached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	1960-79	0	0	0.593206	0.406794	17	40586.5	0.00220369
4C	Single-Family Detached	None	1960-79	0	0	0.593206	0.406794	17	40586.5	1.07128e-05
4C	Mobile Home	Ducted Heat Pump	1980-99	0	1	0	0	4	39739.6	0.000179486
4C	Mobile Home	Ducted Heating	1980-99	0	0	0	1	1	10774.6	0.000256381
4C	Mobile Home	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	1980-99	0.45211	0	0.54789	0	2	9000.83	0.000413719
4C	Mobile Home	None	1980-99	0.45211	0	0.54789	0	2	9000.83	3.20551e-06
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0	1	0	0	0	0	0.000122496
4C	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0	0	0.684068	0.315932	4	24835.9	0.000151648
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0	0	0.752226	0.247774	31	88473.2	0.000296802
4C	Multi-Family with 2 - 4 Units	None	1980-99	0	0	0.752226	0.247774	31	88473.2	1.68487e-06
4C	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0	1	0	0	0	0	0.000508038
4C	Multi-Family with 5+ Units	Ducted Heating	1980-99	0	0	0.684068	0.315932	4	24835.9	0.000410045
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0	0	0.752226	0.247774	31	88473.2	0.00114279
4C	Multi-Family with 5+ Units	None	1980-99	0	0	0.752226	0.247774	31	88473.2	1.79812e-05
4C	Single-Family Attached	Ducted Heat Pump	1980-99	0	1	0	0	17	79985.3	5.71983e-05
4C	Single-Family Attached	Ducted Heating	1980-99	0.250788	0	0.510747	0.238465	40	208776	0.000193222
4C	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	1980-99	0	0	0.805317	0.194683	15	36595.5	0.000146214
4C	Single-Family Attached	None	1980-99	0	0	0.805317	0.194683	15	36595.5	1.43228e-06
4C	Single-Family Detached	Ducted Heat Pump	1980-99	0	1	0	0	17	79985.3	0.000475561
4C	Single-Family Detached	Ducted Heating	1980-99	0.250788	0	0.510747	0.238465	40	208776	0.0028947
4C	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	1980-99	0	0	0.805317	0.194683	15	36595.5	0.0013678
4C	Single-Family Detached	None	1980-99	0	0	0.805317	0.194683	15	36595.5	8.89536e-06
4C	Mobile Home	Ducted Heat Pump	2000-09	0	1	0	0	1	6051.27	3.76669e-05
4C	Mobile Home	Ducted Heating	2000-09	0.333333	0	0.333333	0.333333	0	0	9.10463e-05
4C	Mobile Home	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	2000-09	0.333333	0	0.333333	0.333333	0	0	5.65648e-05
4C	Mobile Home	None	2000-09	0.333333	0	0.333333	0.333333	0	0	9.96308e-07
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0	1	0	0	0	0	3.86668e-05
4C	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	0	0	1	0	2	4796.49	0.000100262
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	0	0	0.539287	0.460713	6	8524.31	5.95516e-05
4C	Multi-Family with 2 - 4 Units	None	2000-09	0	0	0.539287	0.460713	6	8524.31	9.41996e-07
4C	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0	1	0	0	0	0	0.000204803
4C	Multi-Family with 5+ Units	Ducted Heating	2000-09	0	0	1	0	2	4796.49	0.00041042
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	0	0	0.539287	0.460713	6	8524.31	0.000289069
4C	Multi-Family with 5+ Units	None	2000-09	0	0	0.539287	0.460713	6	8524.31	8.67199e-06
4C	Single-Family Attached	Ducted Heat Pump	2000-09	0	1	0	0	5	11703.6	3.64631e-05
4C	Single-Family Attached	Ducted Heating	2000-09	0.200566	0	0.592278	0.207156	26	68114.9	0.000231193
4C	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	2000-09	0.120593	0	0.35585	0.523556	8	9043.81	8.601e-05
4C	Single-Family Attached	None	2000-09	0.120593	0	0.35585	0.523556	8	9043.81	1.12794e-06
4C	Single-Family Detached	Ducted Heat Pump	2000-09	0	1	0	0	5	11703.6	0.000233661
4C	Single-Family Detached	Ducted Heating	2000-09	0.200566	0	0.592278	0.207156	26	68114.9	0.00178346
4C	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	2000-09	0.120593	0	0.35585	0.523556	8	9043.81	0.000617128
4C	Single-Family Detached	None	2000-09	0.120593	0	0.35585	0.523556	8	9043.81	4.15186e-06
4C	Mobile Home	Ducted Heat Pump	2010s	0	1	0	0	1	6051.27	8.76602e-06
4C	Mobile Home	Ducted Heating	2010s	0.333333	0	0.333333	0.333333	0	0	2.33849e-05
4C	Mobile Home	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	2010s	0.333333	0	0.333333	0.333333	0	0	1.36438e-05
4C	Mobile Home	None	2010s	0.333333	0	0.333333	0.333333	0	0	6.04381e-07
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0	1	0	0	0	0	1.57533e-05
4C	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	0	0	1	0	2	4796.49	3.52708e-05
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	0	0	0.539287	0.460713	6	8524.31	2.30437e-05
4C	Multi-Family with 2 - 4 Units	None	2010s	0	0	0.539287	0.460713	6	8524.31	5.15134e-07
4C	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0	1	0	0	0	0	0.000157743
4C	Multi-Family with 5+ Units	Ducted Heating	2010s	0	0	1	0	2	4796.49	0.000271643
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	0	0	0.539287	0.460713	6	8524.31	0.000212931
4C	Multi-Family with 5+ Units	None	2010s	0	0	0.539287	0.460713	6	8524.31	8.93432e-06
4C	Single-Family Attached	Ducted Heat Pump	2010s	0	1	0	0	5	11703.6	1.49638e-05
4C	Single-Family Attached	Ducted Heating	2010s	0.200566	0	0.592278	0.207156	26	68114.9	6.40153e-05
4C	Single-Family Attached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	2010s	0.120593	0	0.35585	0.523556	8	9043.81	2.85546e-05
4C	Single-Family Attached	None	2010s	0.120593	0	0.35585	0.523556	8	9043.81	6.09523e-08
4C	Single-Family Detached	Ducted Heat Pump	2010s	0	1	0	0	5	11703.6	9.17046e-05
4C	Single-Family Detached	Ducted Heating	2010s	0.200566	0	0.592278	0.207156	26	68114.9	0.000612936
4C	Single-Family Detached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	2010s	0.120593	0	0.35585	0.523556	8	9043.81	0.000223194
4C	Single-Family Detached	None	2010s	0.120593	0	0.35585	0.523556	8	9043.81	1.89207e-06
4C	Mobile Home	Ducted Heat Pump	<1940	0	1	0	0	0	0	3.42328e-07
4C	Mobile Home	Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	4.00388e-06
4C	Mobile Home	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4C	Mobile Home	Non-Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	4.83738e-06
4C	Mobile Home	None	<1940	0.333333	0	0.333333	0.333333	0	0	2.87077e-06
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	6.96851e-06
4C	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	7.17485e-05
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0	0	1	0	7	19631.3	9.53054e-05
4C	Multi-Family with 2 - 4 Units	None	<1940	0	0	1	0	7	19631.3	1.42529e-06
4C	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	1.75358e-05
4C	Multi-Family with 5+ Units	Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	0.000132185
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heating	<1940	0	0	1	0	7	19631.3	0.000224136
4C	Multi-Family with 5+ Units	None	<1940	0	0	1	0	7	19631.3	1.34555e-05
4C	Single-Family Attached	Ducted Heat Pump	<1940	0	1	0	0	1	4631.63	2.0307e-06
4C	Single-Family Attached	Ducted Heating	<1940	0	0	0.771098	0.228902	16	85852.4	2.48745e-05
4C	Single-Family Attached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4C	Single-Family Attached	Non-Ducted Heating	<1940	0	0	0.597163	0.402837	10	23529	2.906e-05
4C	Single-Family Attached	None	<1940	0	0	0.597163	0.402837	10	23529	3.12976e-07
4C	Single-Family Detached	Ducted Heat Pump	<1940	0	1	0	0	1	4631.63	5.0352e-05
4C	Single-Family Detached	Ducted Heating	<1940	0	0	0.771098	0.228902	16	85852.4	0.00134833
4C	Single-Family Detached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
4C	Single-Family Detached	Non-Ducted Heating	<1940	0	0	0.597163	0.402837	10	23529	0.000957922
4C	Single-Family Detached	None	<1940	0	0	0.597163	0.402837	10	23529	4.82257e-06
5A	Mobile Home	Ducted Heat Pump	1940-59	0	1	0	0	0	0	4.06437e-06
5A	Mobile Home	Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	0.000108181
5A	Mobile Home	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
5A	Mobile Home	Non-Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	5.67388e-05
5A	Mobile Home	None	1940-59	0.333333	0	0.333333	0.333333	0	0	2.65142e-06
5A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0	1	0	0	1	3557.12	0.000119017
5A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.336503	0	0.34408	0.319417	29	199803	0.00260736
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.0237741	0	0.291477	0.684749	54	147745	0.00131429
5A	Multi-Family with 2 - 4 Units	None	1940-59	0.0237741	0	0.291477	0.684749	54	147745	2.58731e-05
5A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0	1	0	0	1	3557.12	0.000211454
5A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.336503	0	0.34408	0.319417	29	199803	0.00182103
5A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
5A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.0237741	0	0.291477	0.684749	54	147745	0.00153674
5A	Multi-Family with 5+ Units	None	1940-59	0.0237741	0	0.291477	0.684749	54	147745	8.26559e-05
5A	Single-Family Attached	Ducted Heat Pump	1940-59	0	1	0	0	2	16714.3	3.11975e-05
5A	Single-Family Attached	Ducted Heating	1940-59	0.640739	0	0.154566	0.204695	300	1.80622e+06	0.00093008
5A	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
5A	Single-Family Attached	Non-Ducted Heating	1940-59	0.216379	0	0.154599	0.629022	101	238678	0.000435569
5A	Single-Family Attached	None	1940-59	0.216379	0	0.154599	0.629022	101	238678	5.20306e-06
5A	Single-Family Detached	Ducted Heat Pump	1940-59	0	1	0	0	2	16714.3	0.000347285
5A	Single-Family Detached	Ducted Heating	1940-59	0.640739	0	0.154566	0.204695	300	1.80622e+06	0.0246259
5A	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
5A	Single-Family Detached	Non-Ducted Heating	1940-59	0.216379	0	0.154599	0.629022	101	238678	0.00981168
5A	Single-Family Detached	None	1940-59	0.216379	0	0.154599	0.629022	101	238678	4.80471e-05
5A	Mobile Home	Ducted Heat Pump	1960-79	0	1	0	0	0	0	2.63936e-05
5A	Mobile Home	Ducted Heating	1960-79	0.0539512	0	0.425138	0.520911	14	163956	0.00141422
5A	Mobile Home	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
5A	Mobile Home	Non-Ducted Heating	1960-79	0.592232	0	0.208563	0.199205	6	50273	0.000868428
5A	Mobile Home	None	1960-79	0.592232	0	0.208563	0.199205	6	50273	7.30989e-06
